Начало поиска: [2, 3], f(a) = -1, f(b) = 16
Время: 0.000154 c, x = 2.5, f(x) = 5.625
Время: 0.000313 c, x = 2.25, f(x) = 1.890625
Время: 0.000432 c, x = 2.125, f(x) = 0.345703125
Время: 0.000741 c, x = 2.0625, f(x) = -0.351318359375
Время: 0.000924 c, x = 2.09375, f(x) = -0.008941650390625
Время: 0.001057 c, x = 2.109375, f(x) = 0.16683578491210938
Время: 0.001191 c, x = 2.1015625, f(x) = 0.07856225967407227
Время: 0.001312 c, x = 2.09765625, f(x) = 0.03471428155899048
Время: 0.001436 c, x = 2.095703125, f(x) = 0.012862332165241241
Время: 0.001556 c, x = 2.0947265625, f(x) = 0.00195434782654047
Время: 0.003452 c, x = 2.09423828125, f(x) = -0.003495149197988212
Время: 0.003675 c, x = 2.094482421875, f(x) = -0.0007707752083661035
Время: 0.003798 c, x = 2.0946044921875, f(x) = 0.000591692672969657
Время: 0.004023 c, x = 2.09454345703125, f(x) = -8.956467604548379e-05
Время: 0.004157 c, x = 2.094573974609375, f(x) = 0.00025105814629000633
Время: 0.004260 c, x = 2.0945587158203125, f(x) = 8.074527208989934e-05
Время: 0.004367 c, x = 2.0945510864257812, f(x) = -4.410067734994527e-06
Начало поиска: [2, 3], f(a) = -1, f(b) = 16
Время: 0.000056 c, x = 2.5, f(x) = 5.625
Время: 0.000198 c, x = 2.25, f(x) = 1.890625
Время: 0.000328 c, x = 2.125, f(x) = 0.345703125
Время: 0.000428 c, x = 2.0625, f(x) = -0.351318359375
Время: 0.000523 c, x = 2.09375, f(x) = -0.008941650390625
Время: 0.000663 c, x = 2.109375, f(x) = 0.16683578491210938
Время: 0.000779 c, x = 2.1015625, f(x) = 0.07856225967407227
Время: 0.000889 c, x = 2.09765625, f(x) = 0.03471428155899048
Время: 0.001019 c, x = 2.095703125, f(x) = 0.012862332165241241
Время: 0.001247 c, x = 2.0947265625, f(x) = 0.00195434782654047
Время: 0.001415 c, x = 2.09423828125, f(x) = -0.003495149197988212
Время: 0.001615 c, x = 2.094482421875, f(x) = -0.0007707752083661035
Время: 0.001774 c, x = 2.0946044921875, f(x) = 0.000591692672969657
Время: 0.001966 c, x = 2.09454345703125, f(x) = -8.956467604548379e-05
Время: 0.002105 c, x = 2.094573974609375, f(x) = 0.00025105814629000633
Время: 0.002212 c, x = 2.0945587158203125, f(x) = 8.074527208989934e-05
Время: 0.002319 c, x = 2.0945510864257812, f(x) = -4.410067734994527e-06
Начало поиска: [2, 3], f(a) = -1, f(b) = 16
Время: 0.000122 c, x = 2.5, f(x) = 5.625
Время: 0.000272 c, x = 2.25, f(x) = 1.890625
Время: 0.000388 c, x = 2.125, f(x) = 0.345703125
Время: 0.000496 c, x = 2.0625, f(x) = -0.351318359375
Время: 0.000618 c, x = 2.09375, f(x) = -0.008941650390625
Время: 0.000892 c, x = 2.109375, f(x) = 0.16683578491210938
Время: 0.001079 c, x = 2.1015625, f(x) = 0.07856225967407227
Время: 0.001335 c, x = 2.09765625, f(x) = 0.03471428155899048
Время: 0.001482 c, x = 2.095703125, f(x) = 0.012862332165241241
Время: 0.001603 c, x = 2.0947265625, f(x) = 0.00195434782654047
Время: 0.001794 c, x = 2.09423828125, f(x) = -0.003495149197988212
Время: 0.001946 c, x = 2.094482421875, f(x) = -0.0007707752083661035
Время: 0.002084 c, x = 2.0946044921875, f(x) = 0.000591692672969657
Время: 0.002191 c, x = 2.09454345703125, f(x) = -8.956467604548379e-05
Время: 0.002288 c, x = 2.094573974609375, f(x) = 0.00025105814629000633
Время: 0.002383 c, x = 2.0945587158203125, f(x) = 8.074527208989934e-05
Время: 0.002481 c, x = 2.0945510864257812, f(x) = -4.410067734994527e-06
Начало поиска: [2, 3], f(a) = -1, f(b) = 16
Время: 0.000184 c, x = 2.5, f(x) = 5.625
Время: 0.000354 c, x = 2.25, f(x) = 1.890625
Время: 0.000473 c, x = 2.125, f(x) = 0.345703125
Время: 0.000574 c, x = 2.0625, f(x) = -0.351318359375
Время: 0.000679 c, x = 2.09375, f(x) = -0.008941650390625
Время: 0.000855 c, x = 2.109375, f(x) = 0.16683578491210938
Время: 0.000998 c, x = 2.1015625, f(x) = 0.07856225967407227
Время: 0.001110 c, x = 2.09765625, f(x) = 0.03471428155899048
Время: 0.001214 c, x = 2.095703125, f(x) = 0.012862332165241241
Время: 0.001309 c, x = 2.0947265625, f(x) = 0.00195434782654047
Время: 0.001404 c, x = 2.09423828125, f(x) = -0.003495149197988212
Время: 0.001496 c, x = 2.094482421875, f(x) = -0.0007707752083661035
Время: 0.001589 c, x = 2.0946044921875, f(x) = 0.000591692672969657
Время: 0.001718 c, x = 2.09454345703125, f(x) = -8.956467604548379e-05
Время: 0.001851 c, x = 2.094573974609375, f(x) = 0.00025105814629000633
Время: 0.001947 c, x = 2.0945587158203125, f(x) = 8.074527208989934e-05
Время: 0.002040 c, x = 2.0945510864257812, f(x) = -4.410067734994527e-06
